account | 账号
password | 密码
email | 邮箱；电子邮件
login | 登录
logout | 退出登录
register | 注册
username | 用户名
settings | 设置
search | 搜索
download | 下载
upload | 上传
install | 安装
update | 更新
delete | 删除
save | 保存
cancel | 取消
submit | 提交
confirm | 确认
next | 下一步
back | 返回
homepage | 首页
link | 链接
share | 分享
like | 点赞；喜欢
comment | 评论
follow | 关注
message | 消息
video | 视频
photo | 照片
file | 文件
free | 免费的
error | 错误
network | 网络
online | 在线
offline | 离线
browser | 浏览器
app | 应用；App
notification | 通知
privacy | 隐私
cookie | Cookie（网站记录）
